,features
256,"{
  ""features"": [
    {
      ""categoria"": ""Jewelry"",
      ""material"": ""14K Gold Fill"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Gold"",
      ""marca"": ""Lotus Stone Jewelry""
    }
  ]
}"
257,"{
  ""features"": [
    {
      ""categoria"": ""Dog Crate End Table"",
      ""material"": ""Wooden Wire"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Beige, Stainless Steel, Weathered Grey, White"",
      ""marca"": ""UNIPAWS""
    }
  ]
}"
258,"{
  ""features"": [
    {
      ""categoria"": ""Sexy Costume"",
      ""material"": ""Polyester/ Spandex Blend"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ForPlay""
    }
  ]
}"
259,"{
  ""features"": [
    {
      ""categoria"": ""Polo Shirts"",
      ""material"": ""95% Cotton, 5% Spandex"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""KUYIGO""
    }
  ]
}"
260,"{
  ""features"": [
    {
      ""categoria"": ""Running Shoe"",
      ""material"": ""Breathable upper, Versa foam cushioning technology, Durable rubber outsole"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Saucony""
    }
  ]
}"
261,"{
  ""features"": [
    {
      ""categoria"": ""Snack"",
      ""material"": ""Cheddar, Pretzel"",
      ""Público-alvo"": ""Todos"",
      ""cor"": ""Diversas"",
      ""marca"": ""Goldfish""
    }
  ]
}"
262,"{
  ""features"": [
    {
      ""categoria"": ""Workbook"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Spectrum""
    }
  ]
}"
263,"{
  ""features"": [
    {
      ""categoria"": ""Clear Backpack"",
      ""material"": ""PVC"",
      ""Público-alvo"": ""Kids and Adults"",
      ""cor"": ""Transparent"",
      ""marca"": ""Carry360""
    }
  ]
}"
264,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Ram’s Horn"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Natural Finish"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
265,"{
  ""features"": [
    {
      ""categoria"": ""Shrub"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""variegated, green, Blue"",
      ""marca"": ""HYDRANGEA M `LIGHT O DAY`""
    }
  ]
}"
266,"{
  ""features"": [
    {
      ""categoria"": ""Chinelo"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Happy Feet & Comfy Feet""
    }
  ]
}"
267,"{
  ""features"": [
    {
      ""categoria"": ""Dental Water Jet"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Waterpik""
    }
  ]
}"
268,"{
  ""features"": [
    {
      ""categoria"": ""Running Shoe"",
      ""material"": ""Heather knit-like upper"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ASICS""
    }
  ]
}"
269,"{
  ""features"": [
    {
      ""categoria"": ""Bookmark"",
      ""material"": ""Sustainable hardwoods"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Natural grain cherry"",
      ""marca"": ""Mitercraft""
    }
  ]
}"
270,"{
  ""features"": [
    {
      ""categoria"": ""SUNGLASSES"",
      ""material"": ""COMPOSITE/TAC"",
      ""Público-alvo"": ""WOMEN"",
      ""cor"": ""MORE COLORS TO BE SHOWN"",
      ""marca"": ""Joopin""
    }
  ]
}"
271,"{
  ""features"": [
    {
      ""categoria"": ""Acessório para celular"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Moo Moo"",
      ""marca"": ""Wildflower""
    }
  ]
}"
272,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""preto"",
      ""marca"": ""Haix""
    }
  ]
}"
273,"{
  ""features"": [
    {
      ""categoria"": ""Cama e Banho"",
      ""material"": ""Microfibra"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Azul com listras pontilhadas"",
      ""marca"": ""Amazon Basics""
    }
  ]
}"
274,"{
  ""features"": [
    {
      ""categoria"": ""Suplemento nutricional"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Micro Ingredient""
    }
  ]
}"
275,"{
  ""features"": [
    {
      ""categoria"": ""Pet Feeder"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""WESTLINK""
    }
  ]
}"
276,"{
  ""features"": [
    {
      ""categoria"": ""Heated Gloves"",
      ""material"": ""Spandex Fabric Cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Autocastle""
    }
  ]
}"
277,"{
  ""features"": [
    {
      ""categoria"": ""Acessório eletrônico"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""Vimour""
    }
  ]
}"
278,"{
  ""features"": [
    {
      ""categoria"": ""Decoração de festa"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
279,"{
  ""features"": [
    {
      ""categoria"": ""Stain & Odor Remover"",
      ""material"": ""Natural Enzyme Cleaner"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Pawstruck""
    }
  ]
}"
280,"{
  ""features"": [
    {
      ""categoria"": ""Medical Supplies"",
      ""material"": ""Breathable and sturdy shell with washable Lycra covering"",
      ""Público-alvo"": ""Adult"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Mars Wellness""
    }
  ]
}"
281,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de decoração"",
      ""material"": ""Resina"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Branco"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
282,"{
  ""features"": [
    {
      ""categoria"": ""Chandelier"",
      ""material"": ""Crystal & stainless steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Saint Mossi""
    }
  ]
}"
283,"{
  ""features"": [
    {
      ""categoria"": ""Travel Accessories"",
      ""material"": ""Silicone"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Bright"",
      ""marca"": ""AVIRGO""
    }
  ]
}"
284,"{
  ""features"": [
    {
      ""categoria"": ""Shower Curtain"",
      ""material"": ""Microfiber"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Blue"",
      ""marca"": ""Lush Decor""
    }
  ]
}"
285,"{
  ""features"": [
    {
      ""categoria"": ""USB C to 3.5mm Headphone Adapter"",
      ""material"": ""Aluminum Alloy, Nylon braid"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""VIENON""
    }
  ]
}"
286,"{
  ""features"": [
    {
      ""categoria"": ""Crank Set"",
      ""material"": ""Chromoly Steel"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Salt""
    }
  ]
}"
287,"{
  ""features"": [
    {
      ""categoria"": ""Tags"",
      ""material"": ""Plastic, Cardstock, Vinyl, Recycled Kraft Paper"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Orange, Green, Blue, Red, White, Yellow, Lavender, Dark Green"",
      ""marca"": ""SmartSign""
    }
  ]
}"
288,"{
  ""features"": [
    {
      ""categoria"": ""Aloe Soap Refill"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Softsoap""
    }
  ]
}"
289,"{
  ""features"": [
    {
      ""categoria"": ""Sheet Set"",
      ""material"": ""Microfiber"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Purple"",
      ""marca"": ""LBRO2M""
    }
  ]
}"
290,"{
  ""features"": [
    {
      ""categoria"": ""Placemats Coasters Table Covers"",
      ""material"": ""Cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Beige"",
      ""marca"": ""Phantomon""
    }
  ]
}"
291,"{
  ""features"": [
    {
      ""categoria"": ""Studio Headphones"",
      ""material"": ""Protein Leather, Memory Foam"",
      ""Público-alvo"": ""Profissional"",
      ""cor"": ""Silver"",
      ""marca"": ""OneOdio""
    }
  ]
}"
292,"{
  ""features"": [
    {
      ""categoria"": ""Head Halter Dog Muzzle Remote Collar"",
      ""material"": ""Soft padding, durable design"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Pink, Blue, Black"",
      ""marca"": ""GoodBoy""
    }
  ]
}"
293,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de moda"",
      ""material"": ""Aço inoxidável banhado a ouro"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Dourado"",
      ""marca"": ""NUITS DE JUIN Team""
    }
  ]
}"
294,"{
  ""features"": [
    {
      ""categoria"": ""Nightshirt"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""Hanes""
    }
  ]
}"
295,"{
  ""features"": [
    {
      ""categoria"": ""Animal"",
      ""material"": ""Acrylic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
296,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Re-constituted Quartz Crystal"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Clear"",
      ""marca"": ""Amlong""
    }
  ]
}"
297,"{
  ""features"": [
    {
      ""categoria"": ""Perfume"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Jean Marc Paris""
    }
  ]
}"
298,"{
  ""features"": [
    {
      ""categoria"": ""Electronic Walking Dinosaur Robot Toys"",
      ""material"": ""Durable ABS Non-Toxic BPA-Free Plastic"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""7 colors"",
      ""marca"": ""Welcome to the Dinosaur World""
    }
  ]
}"
299,"{
  ""features"": [
    {
      ""categoria"": ""Foot Pads"",
      ""material"": ""Natural Ingredients"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""TXL Active""
    }
  ]
}"
300,"{
  ""features"": [
    {
      ""categoria"": ""Aquarium Sand"",
      ""material"": ""Natural River Sand"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Natural Color"",
      ""marca"": ""LANDEN""
    }
  ]
}"
301,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor Storage Box"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
302,"{
  ""features"": [
    {
      ""categoria"": ""Noodle Storage Box"",
      ""material"": ""PP"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Light Blue"",
      ""marca"": ""WYKsoku""
    }
  ]
}"
303,"{
  ""features"": [
    {
      ""categoria"": ""Case para Samsung Galaxy Note 10 Plus"",
      ""material"": ""Metal"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Metal Gray/Black"",
      ""marca"": ""ZIZO""
    }
  ]
}"
304,"{
  ""features"": [
    {
      ""categoria"": ""Alimento"",
      ""material"": ""Stevia leaf"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""SweetLeaf""
    }
  ]
}"
305,"{
  ""features"": [
    {
      ""categoria"": ""Running boards"",
      ""material"": ""Aluminum"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HD Ridez""
    }
  ]
}"
306,"{
  ""features"": [
    {
      ""categoria"": ""Dry Erase Markers"",
      ""material"": ""Non-toxic ink"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Assorted Colors"",
      ""marca"": ""Expo""
    }
  ]
}"
307,"{
  ""features"": [
    {
      ""categoria"": ""Everyday Carry Knives"",
      ""material"": ""8Cr13MoV Tanto Blade, G10 Handles"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""VORTEK""
    }
  ]
}"
308,"{
  ""features"": [
    {
      ""categoria"": ""Blu-Ray"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Robot Jox""
    }
  ]
}"
309,"{
  ""features"": [
    {
      ""categoria"": ""Camiseta Masculina"",
      ""material"": ""100% algodão"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
310,"{
  ""features"": [
    {
      ""categoria"": ""Body Piercing Kit"",
      ""material"": ""Stainless Steel + Cubic Zirconia"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Silver"",
      ""marca"": ""Yuelong""
    }
  ]
}"
311,"{
  ""features"": [
    {
      ""categoria"": ""Decoração"",
      ""material"": ""Madeira"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
312,"{
  ""features"": [
    {
      ""categoria"": ""Work Light Replacement Bulbs"",
      ""material"": ""Plastic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Bright White"",
      ""marca"": ""Designers Edge""
    }
  ]
}"
313,"{
  ""features"": [
    {
      ""categoria"": ""Braiding Hair"",
      ""material"": ""High-quality Low-temperature synthetic Fiber"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Ombre Colors"",
      ""marca"": ""Bileaf""
    }
  ]
}"
314,"{
  ""features"": [
    {
      ""categoria"": ""mug"",
      ""material"": ""ceramic"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""black, white, blue"",
      ""marca"": ""3dRose""
    }
  ]
}"
315,"{
  ""features"": [
    {
      ""categoria"": ""RC Car Wheel Rims & Tyres"",
      ""material"": ""Plastic & Rubber"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""lovermusic""
    }
  ]
}"
316,"{
  ""features"": [
    {
      ""categoria"": ""House Flag"",
      ""material"": ""Polyester burlap"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Red"",
      ""marca"": ""Selmad""
    }
  ]
}"
317,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
318,"{
  ""features"": [
    {
      ""categoria"": ""Ring"",
      ""material"": ""925 Sterling Silver"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Gem Stone King""
    }
  ]
}"
319,"{
  ""features"": [
    {
      ""categoria"": ""Livro"",
      ""material"": ""Papel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Norton""
    }
  ]
}"
320,"{
  ""features"": [
    {
      ""categoria"": ""Eau de Toilette"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Joop""
    }
  ]
}"
321,"{
  ""features"": [
    {
      ""categoria"": ""Vestido"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Xadrez"",
      ""marca"": ""Alaster""
    }
  ]
}"
322,"{
  ""features"": [
    {
      ""categoria"": ""Camiseta"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
323,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Twill 100 percent cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Navy"",
      ""marca"": ""Bulwark""
    }
  ]
}"
324,"{
  ""features"": [
    {
      ""categoria"": ""Decoração de Halloween"",
      ""material"": ""Algodão"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""UNOMOR""
    }
  ]
}"
325,"{
  ""features"": [
    {
      ""categoria"": ""Truck Navigator"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Garmin""
    }
  ]
}"
326,"{
  ""features"": [
    {
      ""categoria"": ""Acessórios de bebê"",
      ""material"": ""Algodão"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Branco"",
      ""marca"": ""ESTAMICO""
    }
  ]
}"
327,"{
  ""features"": [
    {
      ""categoria"": ""Vestido"",
      ""material"": ""Cotton Top + Tulle Skirt"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Vermelho, Laranja, Rosa, Roxo, Amarelo, Verde"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
328,"{
  ""features"": [
    {
      ""categoria"": ""Picture Hanging Wire"",
      ""material"": ""Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HangDone""
    }
  ]
}"
329,"{
  ""features"": [
    {
      ""categoria"": ""Air Purifier"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Silver"",
      ""marca"": ""Medify""
    }
  ]
}"
330,"{
  ""features"": [
    {
      ""categoria"": ""Area Rug"",
      ""material"": ""Enhanced polypropylene fibers"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Dark Grey/Ivory"",
      ""marca"": ""SAFAVIEH""
    }
  ]
}"
331,"{
  ""features"": [
    {
      ""categoria"": ""Rakhi"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""IndoTribe""
    }
  ]
}"
332,"{
  ""features"": [
    {
      ""categoria"": ""Monthly Milestone Blanket"",
      ""material"": ""100% Organic Cotton"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Pondering Pine""
    }
  ]
}"
333,"{
  ""features"": [
    {
      ""categoria"": ""Kitchen and Home Storage"",
      ""material"": ""Plastic"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Clear"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
334,"{
  ""features"": [
    {
      ""categoria"": ""Jewelry Making and Macrame Supplies"",
      ""material"": ""Cotton"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""PandaHall Elite""
    }
  ]
}"
335,"{
  ""features"": [
    {
      ""categoria"": ""Watch"",
      ""material"": ""Gold-tone"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Gold"",
      ""marca"": ""Casio""
    }
  ]
}"
336,"{
  ""features"": [
    {
      ""categoria"": ""Charger"",
      ""material"": ""Not found"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""KSW KINGDO""
    }
  ]
}"
337,"{
  ""features"": [
    {
      ""categoria"": ""Lápis de cor"",
      ""material"": ""Pigmentos facilmente apagáveis"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Vermelho"",
      ""marca"": ""Prismacolor""
    }
  ]
}"
338,"{
  ""features"": [
    {
      ""categoria"": ""Coroa de corrente"",
      ""material"": ""Alumínio"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""Shimano""
    }
  ]
}"
339,"{
  ""features"": [
    {
      ""categoria"": ""Under Eye Patches"",
      ""material"": ""Collagen, 24K Gold"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""PURA D'OR""
    }
  ]
}"
340,"{
  ""features"": [
    {
      ""categoria"": ""Sandálias"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Unissex"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Coddies""
    }
  ]
}"
341,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""algodão"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""azul"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
342,"{
  ""features"": [
    {
      ""categoria"": ""USB Flash Drive"",
      ""material"": ""High quality silicone"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""Huago""
    }
  ]
}"
343,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""NORTHWEST ENTERPRISES""
    }
  ]
}"
344,"{
  ""features"": [
    {
      ""categoria"": ""Capri Pant"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""LEE""
    }
  ]
}"
345,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
346,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
347,"{
  ""features"": [
    {
      ""categoria"": ""Throw Pillow Cover"",
      ""material"": ""peach skin fabric"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Brown"",
      ""marca"": ""LESGAULEST""
    }
  ]
}"
348,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""JKYP""
    }
  ]
}"
349,"{
  ""features"": [
    {
      ""categoria"": ""Snow Boots for Women"",
      ""material"": ""Waterproof Upper, Synthetic Fur Inner, Gum Rubber Sole"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black, Blue, Grey, Brown, Red, Purple"",
      ""marca"": ""gracosy""
    }
  ]
}"
350,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de Cabelo"",
      ""material"": ""Zinc Alloy"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Vintage Stone Gray"",
      ""marca"": ""XINCHI""
    }
  ]
}"
351,"{
  ""features"": [
    {
      ""categoria"": ""Tatuagens temporárias"",
      ""material"": ""Papel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Diversas cores"",
      ""marca"": ""Everjoy""
    }
  ]
}"
352,"{
  ""features"": [
    {
      ""categoria"": ""Ferramenta de mão"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""Rack-A-Tiers""
    }
  ]
}"
353,"{
  ""features"": [
    {
      ""categoria"": ""Leggings"",
      ""material"": ""Buttery Soft"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Solid Yoga"",
      ""marca"": ""Leggings Depot""
    }
  ]
}"
354,"{
  ""features"": [
    {
      ""categoria"": ""Cutelaria"",
      ""material"": ""Aço alemão"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Mercer Culinary""
    }
  ]
}"
355,"{
  ""features"": [
    {
      ""categoria"": ""Undershirt"",
      ""material"": ""Micro Modal/ Cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Ejis""
    }
  ]
}"
356,"{
  ""features"": [
    {
      ""categoria"": ""Maxi Sundress"",
      ""material"": ""35% Cotton, 65% Polyester"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Floral"",
      ""marca"": ""SOLERSUN""
    }
  ]
}"
357,"{
  ""features"": [
    {
      ""categoria"": ""Alimentos e Bebidas"",
      ""material"": ""Chá preto Ceylon"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Huckleberry Haven""
    }
  ]
}"
358,"{
  ""features"": [
    {
      ""categoria"": ""Rear Leveling lift kit"",
      ""material"": ""Fabricated lift blocks, U bolts"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""MotoFab Lifts""
    }
  ]
}"
359,"{
  ""features"": [
    {
      ""categoria"": ""Sheer Curtains"",
      ""material"": ""70% Polyester and 30% Faux Linen"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""White/ Rust Blue/ Beige/ Rust Grey/ Wheat"",
      ""marca"": ""LOYOLADY""
    }
  ]
}"
360,"{
  ""features"": [
    {
      ""categoria"": ""Suplemento"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Life Extension""
    }
  ]
}"
361,"{
  ""features"": [
    {
      ""categoria"": ""Water Cooler"",
      ""material"": ""Stainless Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""Oasis""
    }
  ]
}"
362,"{
  ""features"": [
    {
      ""categoria"": ""Ceramic Hanging Planter"",
      ""material"": ""Ceramic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""White Gray"",
      ""marca"": ""23 Bees""
    }
  ]
}"
363,"{
  ""features"": [
    {
      ""categoria"": ""Jewelry Trinket Box"",
      ""material"": ""Dec Metal with detail texture, rhinestones accents and hand-painted colorful enamel finished"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Royal White"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
364,"{
  ""features"": [
    {
      ""categoria"": ""Fishing Rod Reel Combo"",
      ""material"": ""Carbon Fiber mixed with Fiberglass"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Colorful"",
      ""marca"": ""Sougayilang""
    }
  ]
}"
365,"{
  ""features"": [
    {
      ""categoria"": ""Sunscreen"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""Alba Botanica""
    }
  ]
}"
366,"{
  ""features"": [
    {
      ""categoria"": ""Material de Desenho"",
      ""material"": ""Cera"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Verde"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
367,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
368,"{
  ""features"": [
    {
      ""categoria"": ""Sapato de dança"",
      ""material"": ""Couro ou patente PU"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Capezio""
    }
  ]
}"
369,"{
  ""features"": [
    {
      ""categoria"": ""Notebook"",
      ""material"": ""Linen covers"",
      ""Público-alvo"": ""Profissional"",
      ""cor"": ""Preto"",
      ""marca"": ""Cambridge""
    }
  ]
}"
